new,temp,humi,movement,vacc,naver
152,9.5,47.6,4607608,0.0,7.27572
151,1.2,65.1,5405645,0.0,8.71728
161,-5.1,57.9,5462056,0.0,8.14058
258,-8.3,44.1,5576001,0.0,12.800460000000001
185,-5.8,44.9,5656303,0.0,12.04363
180,1.6,66.9,5872301,0.0,9.646160000000002
123,8.8,60.4,5593997,0.0,7.2306
130,10.8,66.6,5166949,0.0,6.57143
106,7.8,58.3,5735937,0.0,8.177489999999999
126,0.0,34.0,5779239,0.0,7.44353
144,2.9,33.0,5865553,0.0,7.22284
122,4.2,35.1,5873137,0.0,6.69539
132,8.2,35.0,6065786,0.0,7.41308
131,9.5,48.6,5744559,0.0,5.439640000000001
120,7.8,49.0,5277215,0.0,5.4251000000000005
92,4.7,91.0,4639375,0.0,5.291980000000001
122,2.3,75.9,5708932,0.0,6.605389999999999
119,4.4,64.4,5797369,0.0,6.14557
118,7.2,62.4,5805434,0.0,6.016970000000001
129,9.0,70.3,6026100,0.0,6.18674
128,6.6,69.5,5645498,0.0,5.197539999999999
132,6.2,62.9,5244280,0.0,4.858179999999999
100,7.0,60.3,5801691,0.0,6.31436
102,6.6,58.5,5873491,0.0,5.81898
138,8.8,61.8,5960686,0.0,6.0219499999999995
138,10.2,50.8,5958204,0.0,5.79923
140,10.5,57.0,6088971,0.0,6.010579999999999
140,9.2,62.8,5796916,0.0,4.33924
112,9.1,71.4,5314510,0.0,4.49428
112,10.6,68.8,5894556,0.0,5.25556
79,8.4,52.5,5967892,0.0,4.94427
120,8.8,44.9,6052220,0.0,4.8642
124,11.7,50.1,6069569,0.0,4.72285
146,15.3,47.9,6266202,0.0,4.40397
120,9.9,74.6,5724572,0.0,3.71232
125,5.8,65.9,5389121,0.0,3.65584
109,6.2,55.3,5967733,0.0,4.721889999999999
97,9.1,63.5,6061758,0.0,4.29674
137,10.8,61.5,6124571,0.0,4.48646
127,11.9,68.5,6200096,0.0,4.397390000000001
122,12.6,58.4,6375663,0.0,4.68773
127,12.1,70.9,5832096,0.0,4.249499999999999
138,9.0,95.8,5385052,0.0,4.0423100000000005
107,10.2,62.3,6094558,0.0,4.97048
145,10.8,47.3,6236996,0.0,4.57193
158,14.5,41.0,6334111,0.0,4.69421
199,17.7,33.0,5574684,0.0,5.527489999999999
167,17.8,35.6,5771467,0.0,5.30673
155,14.9,80.8,5305168,0.0,4.05224
149,11.9,65.8,5149665,0.0,4.52259
152,11.9,47.9,5525303,0.0,6.59012
147,13.9,50.9,5579445,0.0,6.0813999999999995
198,14.1,47.5,5634382,0.0,9.22217
244,13.0,34.0,5617866,0.0,12.55716
215,13.6,39.3,5803071,0.0,11.706669999999999
201,12.6,50.0,5589465,0.0,6.60424
214,15.0,45.4,5157912,0.0,5.93779
162,13.8,70.4,5389018,0.0,7.56208
158,10.4,74.0,5578216,0.0,6.286770000000001
247,8.4,58.5,5645099,0.0,7.886169999999999
217,11.6,62.3,5709044,0.0,7.0647899999999995
216,11.3,60.0,5776801,0.0,6.11683
217,9.6,56.6,5545287,0.0,4.59159
205,9.9,64.3,5210299,0.0,4.5984799999999995
137,12.2,65.3,5651646,0.0,5.79466
148,14.8,55.1,5742353,0.0,5.26833
218,19.1,43.1,5798459,0.0,5.9649399999999995
230,20.9,37.9,5807317,0.0,6.0501
204,19.0,41.4,5972574,0.0,7.747249999999999
253,18.3,43.0,5734835,0.0,5.76263
175,18.2,50.0,5316823,0.0,5.13323
154,16.2,51.8,5766880,0.0,6.6269599999999995
116,15.4,62.4,5769356,0.0,5.87189
259,14.5,64.1,5853996,0.0,5.95799
227,14.6,54.1,5864379,0.0,5.203969999999999
227,11.3,81.8,6030196,0.0,4.909510000000001
195,10.2,80.8,5508599,0.0,3.58092
182,12.4,67.9,5292774,0.0,3.4597499999999997
127,14.1,56.4,5839273,0.0,4.43414
184,13.8,82.6,5788838,0.0,4.18391
238,13.9,64.4,5380659,0.0,3.51975
212,15.7,46.4,5914736,0.0,4.12123
179,14.4,60.3,5963234,0.0,3.7890399999999995
242,14.3,66.1,5679562,0.0,3.36501
195,15.7,51.3,5349925,0.0,3.16558
141,13.2,67.9,5845022,0.0,4.0390500000000005
163,18.5,48.9,6046008,0.0,3.90698
